ID;URI;German Name;German Synonyms;English Name;English Synonyms;Wikidata ID;GND ID (male);GND ID (female);GND ID (group);AAT ID;Parent Role;German Breadcrumb;English Breadcrumb;"Pre-selects ""ist Urheber:in"" automatically";"Pre-selects ""besitzt Leistungsschutzrechte"" automatically"
116;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-116;Koproduzent:in;Koproduzentin,Koproduzent;co-producer;;Q11999333;;;;;;Koproduzent:in;co-producer;0;1
117;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-117;Kostümbildner:in;Kostümdesignerin,Kostümdesigner,Kostümbildnerin,Kostümbildner;costume designer;;Q1323191;4122242-8;4428817-7;;300163428;;Kostümbildner:in;costume designer;0;0
118;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-118;Kulturaktivist:in;Kulturaktivistin,Kulturaktivist;cultural activist;;Q21993562;;;;;;Kulturaktivist:in;cultural activist;0;0
119;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-119;Künstler:in;Autorin,Autor,Komponistin,Komponist,Interpretin,Interpret,Bildende Künstlerin,Bildender Künstler,Medienkünstlerin,Medienkünstler,Künstlerin,Künstler;artist;;Q483501;4033423-5;4033430-2;;;;Künstler:in;artist;1;0
120;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-120;Karikaturist:in;Schnellzeichnerin,Schnellzeichner,Karikaturistin,Karikaturist;caricaturist;;Q3658608;4232470-1;4315151-6;;300025108;;Künstler:in > Karikaturist:in;artist > caricaturist;1;0
121;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-121;Maler:in;Kunstmalerin,Kunstmaler,Malerin,Maler;painter;;Q1028181;4037215-7;4037223-6;;300025136;;Künstler:in > Maler:in;artist > painter;1;0
122;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-122;Kunstpfeifer:in;Kunstpfeiferin,Kunstpfeifer;whistle artist;oral whistler;Q1792566;1135626596;;;;;Kunstpfeifer:in;whistle artist;0;1
123;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-123;Kurator:in;Kuratorin,Kurator;curator;;Q674426;4688848-2;7602103-8;;300025633;;Kurator:in;curator;0;0
124;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-124;Ausstellungs-Kurator:in;Ausstellungskuratorin,Ausstellungskurator,Ausstellungsmacherin,Ausstellungsmacher,Ausstellungs-Kuratorin,Ausstellungs-Kurator;exhibition curator;art curator;Q780596;;;;300417893;123;Kurator:in > Ausstellungs-Kurator:in;curator > exhibition curator;0;0
125;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-125;Lehrer:in;Lehrkraft,Lehrerin,Lehrer;teacher;educator;Q37226;4035088-5;4035097-6;;300025529;;Lehrer:in;teacher;0;0
126;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-126;Sprachlehrer:in;Sprachlehrerin,Sprachlehrer;voice teacher;;Q30002353;4182521-4;7637407-5;;;125;Lehrer:in > Sprachlehrer:in;teacher > voice teacher;0;0
127;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-127;Englischlehrer:in;Englischlehrerin,Englischlehrer;english teacher;;Q101444631;4152284-9;4413104-5;;;126;Lehrer:in > Sprachlehrer:in > Englischlehrer:in;teacher > voice teacher > english teacher;0;0
128;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-128;Librettist:in;Librettistin,Librettist;librettist;;Q8178443;4167564-2;4683584-2;;300025674;;Librettist:in;librettist;1;0
129;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-129;Linguist:in;Sprachforscherin,Sprachforscher,Sprachwissenschaftlerin,Sprachwissenschaftler,Linguistin,Linguist;linguist;;Q14467526;4224183-2;4362368-2;;300025561;;Linguist:in;linguist;0;0
130;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-130;Romanist:in;Romanistin,Romanist;romanist;romanicist;Q2504617;4219681-4;7539218-5;;;129;Linguist:in > Romanist:in;linguist > romanist;0;0
131;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-131;Lokomotivführer:in;Triebfahrzeugführerin,Triebfahrzeugführer,Lokomotivführerin,Lokomotivführer;train driver;engine driver,train operator;Q2775569;4168131-9;;;;;Lokomotivführer:in;train driver;0;0
132;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-132;Luftfahrtpionier:in;Luftfahrtpionierin,Luftfahrtpionier;aviation pioneer;;Q88104927;;;;;;Luftfahrtpionier:in;aviation pioneer;0;0
133;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-133;Manager:in;Managerin,Manager;manager;;Q2462658;;;;300025435;;Manager:in;manager;0;0
134;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-134;Maskenbildner:in;Maskenbildnerin,Maskenbildner;make-up artist ;;Q935666;4491206-7;4739697-0;;;;Maskenbildner:in;make-up artist ;0;0
135;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-135;Maurer:in;Maurerin,Maurer;bricklayer;mason;Q327321;4275791-5;7539353-0;;300025040;;Maurer:in;bricklayer;0;0
136;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-136;Medienmanager:in;Medienmanagerin,Medienmanager;media executive;;Q108800680;;;;;;Medienmanager:in;media executive;0;0
