ID;URI;English Name;English Synonyms;German Name;German Synonyms;Parent Project Category;German Breadcrumb;English Breadcrumb;Wikidata ID;GND ID;AAT ID;filmportal.de Category ID 
135;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-135;Sculpture;;Skulptur;Plastik,Bildhauerkunst,Bildhauerei,Objekt,Objektkunst;78;Kunst > Skulptur;Art > Sculpture;Q860861;4046277-8;300047090;
136;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-136;Model;;Modell;Maquette;135;Kunst > Skulptur > Modell;Art > Sculpture > Model;Q1979154;4039798-1;300047753;
137;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-137;Found Object;;Ready-made;Objekt,Objet Trouvé;135;Kunst > Skulptur > Ready-made;Art > Sculpture > Found Object;Q572916;4177111-4;300047210;
138;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-138;Video Art;;Videokunst;;78;Kunst > Videokunst;Art > Video Art;Q682010;4188229-5;300102067;
139;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-139;Expanded Cinema;;Expanded Cinema;;138;Kunst > Videokunst > Expanded Cinema;Art > Video Art > Expanded Cinema;Q117104066;1168277388;;
140;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-140;Projection Mapping;;Projektionsmapping;Videomapping;138;Kunst > Videokunst > Projektionsmapping;Art > Video Art > Projection Mapping;Q776483;;;
141;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-141;Video Essay;;Video-Essay;;138;Kunst > Videokunst > Video-Essay;Art > Video Art > Video Essay;Q48773471;;;
142;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-142;Video Installation;;Videoinstallation;;138;Kunst > Videokunst > Videoinstallation;Art > Video Art > Video Installation;Q550484;4347940-6;;
143;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-143;Video Performance;;Videoperformance;Video-Performance;138;Kunst > Videokunst > Videoperformance;Art > Video Art > Video Performance;Q115754536;;;
144;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-144;Video Sculpture;;Videoskulptur;;138;Kunst > Videokunst > Videoskulptur;Art > Video Art > Video Sculpture;Q7927987;;;
145;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-145;Virtual Reality;VR;Virtual Reality;Virtuelle Realität;138;Kunst > Videokunst > Virtual Reality;Art > Video Art > Virtual Reality;Q170519;4399931-1;300238469;
146;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-146;Drawing;;Zeichnung;;78;Kunst > Zeichnung;Art > Drawing;Q93184;4127900-1;300033973;
147;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-147;Collage;;Collage;Decollage,Fotomontage,Assemblage;146;Kunst > Zeichnung > Collage;Art > Drawing > Collage;Q170593;4010384-5;300033963;
148;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-148;Comic;Graphic Novel;Comic;;146;Kunst > Zeichnung > Comic;Art > Drawing > Comic;Q725377;7658564-5;300015635;
149;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-149;Printmaking;;Druckgrafik;Grafik;146;Kunst > Zeichnung > Druckgrafik;Art > Drawing > Printmaking;Q1027879;4021845-4;300041273;
